bldg_gid,count
623423,242
478343,218
357061,203
611999,200
748815,200
128759,199
691774,188
326140,179
770936,176
9617,176
616806,176
198410,175
480822,174
735811,171
520305,169
407351,169
228123,167
300938,167
359770,165
487455,162
627186,160
334924,158
788780,158
263762,157
229654,156
662953,155
644516,154
320474,153
477462,153
376568,153
633734,150
13736,150
719759,149
528583,148
715101,148
715508,147
449815,143
700681,141
760225,140
458923,139
685274,139
642736,139
401986,139
598039,138
727018,138
675333,138
250749,137
572252,134
234800,134
667611,133
250557,133
342885,133
321191,133
31849,132
461129,132
563445,132
317467,131
28604,131
238070,131
293486,130
486746,130
40010,129
667793,129
269079,128
473047,128
202449,127
485198,127
405394,127
509030,127
466114,126
62681,125
539894,125
457516,125
521296,124
444438,124
163543,124
451355,123
59595,123
680643,123
126387,123
612183,122
122112,122
569919,122
302164,122
326992,122
808021,121
363635,121
522604,121
85262,121
48054,121
809786,120
541457,120
727732,120
185063,120
407425,120
584900,119
717490,119
197103,118
13101,118
384024,118
347062,118
804539,117
374343,117
751363,117
31244,117
755417,117
267146,117
770253,117
407604,116
718997,116
64160,116
673328,115
94383,115
819175,115
576772,115
404030,115
390555,115
406152,115
438110,115
94921,114
780394,114
50549,113
508938,113
400325,113
605880,113
388400,112
617807,112
766397,112
547649,112
704254,112
622016,112
689197,112
207958,112
46542,111
261888,111
51170,110
638403,110
20704,110
560769,110
76159,110
574155,109
194464,109
401211,109
162716,109
306438,109
186483,109
762827,109
176436,109
757641,109
280177,108
725091,108
547614,108
23886,108
305695,108
25389,108
429509,108
78471,108
409277,108
98421,107
455404,107
724911,107
141345,107
778763,107
231889,107
703773,107
194460,107
171686,107
416697,106
167385,106
354491,106
226513,106
813389,106
206085,106
711443,105
279426,105
111802,105
152715,105
585797,105
520571,105
289689,104
521376,104
391624,104
540719,104
270134,104
55539,104
66075,104
363017,103
98956,103
205626,103
62965,103
272663,103
500248,103
237885,103
465583,103
146055,102
580523,102
287239,102
460839,102
433782,102
69795,102
387610,102
16546,102
359184,101
130502,101
302795,101
227553,101
295169,101
696933,101
403493,101
521735,101
637170,101
550350,101
377738,100
548787,100
329479,100
631286,100
436070,100
136258,100
17234,100
132883,100
718127,100
220383,100
702349,99
224290,99
797652,99
134768,99
418762,99
242552,99
